"id","gender","age","income","pol_att","PD_mean","PD_gini","PD_fair","PD_sat","SC_mean","SC_gini","redist"
8,"female",32,47,2,64425,33.372526193248,8,7,39000,22.9307692307692,4.5
148,"female",31,48,7,41685,41.541921554516,7,7,88440,40.9165535956581,5.25
150,"male",53,48,7,68910,35.6639094471049,9,9,49785,23.2946670683941,3.5
256,"male",27,48,2,31125,36.6578313253012,7,9,33300,11.7207207207207,5
265,"male",56,49,7,86730,28.7810446212383,5,7,54300,5.18232044198896,3
13,"female",29,50,3,56790,51.6069730586371,4,3,67890,35.1997348652232,3
25,"female",26,50,6,50775,23.1122599704579,4,5,51855,30.7512293896442,3.25
30,"female",55,50,5,90315,32.645573824946,7,7,76200,18.4763779527559,3
35,"female",29,50,5,39150,48.3563218390805,9,9,23355,30.0044958253051,4.75
64,"female",54,50,7,75840,42.5996835443038,2,5,74040,14.3910048622366,2.5
133,"female",49,50,5,64380,40.2054986020503,7,8,74145,39.7489378919684,5.25
171,NA,24,50,7,15360,16.875,7,7,31980,41.984990619137,3.5
188,"female",49,50,8,84600,33.5514184397163,2,2,111750,21.5302013422819,1.5
197,"female",29,50,5,66540,31.7479711451758,9,9,47850,15.6771159874608,4.75
202,"male",36,50,3,65025,33.3598615916955,5,6,60015,40.5846038490377,3.75
281,"male",25,50,3,14520,15.1900826446281,5,7,16200,17.5555555555556,3.25
292,"female",25,50,3,60300,37.7810945273632,7,7,75300,39.4123505976096,4.5
10,"male",63,51,6,64065,32.7438538983844,7,7,51675,29.4702467343977,3.75
249,"male",24,51,1,57375,38.2156862745098,7,7,46500,25.8709677419355,5
143,"male",26,52,3,52425,38.5078683834048,7,7,55800,33.5537634408602,3.75
9,"female",51,55,3,42660,34.5675105485232,8,9,57345,23.5754642950562,4.75
28,"male",34,55,6,78585,34.6220652796335,5,5,59370,13.4269833249116,3.75
193,"male",25,55,2,57705,42.1307512347284,8,8,91500,29.0491803278688,5.25
215,"female",27,56,2,20850,24.2374100719424,5,5,40650,9.59409594095942,4
219,"male",44,56,5,69960,36.2349914236706,1,9,58500,17.2564102564102,4.75
167,"male",50,58,2,60630,33.5111331024246,7,7,60870,25.580088713652,4.25
198,"male",28,58,5,76845,37.6535233261761,1,1,49800,24.0301204819277,2.25
49,"male",40,59,6,51915,36.4776076278532,7,7,42000,28.7392857142857,3
288,"male",25,59,5,60390,30.1127670144063,7,7,55725,18.114401076716,5
2,"female",34,60,7,67080,35.0161001788909,5,5,59850,17.7418546365915,2.5
66,"female",31,60,1,41955,30.9249195566679,8,8,79950,12.3208255159474,5
94,"female",34,60,1,58530,39.1855458739108,1,2,51645,25.5820505373221,2.25
109,"male",29,60,6,63705,34.5719331292677,1,1,58560,36.9544057377049,1
140,"female",56,60,3,82485,34.5453718857974,5,5,36960,25.588474025974,4
231,"female",62,60,2,63330,33.6740881099006,9,9,98460,23.2982937233394,5
263,"female",27,60,7,87975,23.5507246376812,5,6,62550,18.8057553956835,3
272,"male",25,60,5,48420,38.2602230483271,3,3,62145,16.6615978759353,2.75
40,"male",38,61,3,59895,35.1412471825695,7,7,55980,33.9501607717042,4.25
216,"male",57,62,1,53745,36.3519397153224,8,9,51975,30.8730158730159,5
250,"male",24,62,4,58500,32.6333333333333,5,5,46350,14.7669902912621,3.25
17,"male",67,63,6,59055,40.9847599695199,6,7,56625,31.7523178807947,3.25
155,"female",29,63,3,52935,32.4978747520544,5,6,62250,13.5879518072289,3.5
226,"male",29,63,9,17565,16.8906917164817,5,5,51750,36.4782608695652,3.5
235,"male",33,65,7,56325,41.7083888149134,5,5,48345,11.7620229599752,3.5
252,"female",64,65,1,59400,40.9621212121212,2,2,68715,35.4920323073565,2.25
267,"female",35,65,6,68625,15.64043715847,6,6,72300,10.0373443983403,3.5
273,"male",68,65,7,66975,40.6976483762598,8,5,42000,24.5,3.75
228,"male",43,68,5,59400,29.6388888888889,5,5,58455,26.6453682319733,3.5
34,"female",40,70,7,78075,35.030739673391,6,6,68325,38.3721185510428,4.75
79,"male",59,70,7,110715,28.0854897710337,5,5,77925,20.0779595765159,4.25
166,"male",25,70,3,66825,35.1301907968574,6,6,75300,18.7250996015936,4
180,"female",26,70,7,68775,33.6521264994547,3,3,71250,12.9073684210527,2
27,"female",54,71,2,61770,39.0781932977173,9,9,118635,26.7043874067518,6
218,"male",28,71,3,62850,28.0859188544153,5,5,68550,14.3041575492341,3.5
271,"female",27,72,1,58350,30.7557840616967,9,9,50850,21.0176991150443,4.75
3,"female",31,73,7,45180,33.832005312085,7,7,61275,19.2227662178702,2.5
297,"male",32,73,NA,67800,35.0442477876106,3,3,72060,31.996253122398,2.75
42,"male",44,74,5,40095,36.3258511036289,5,5,50100,21.8622754491018,1
45,"male",45,74,9,61950,42.6077481840194,5,3,52125,23.7338129496403,1.75
262,"male",26,74,4,65505,40.4389741241127,7,6,45930,20.4056172436316,4.25
16,"male",25,75,1,44550,34.3232323232323,9,9,60000,8.25,4.5
116,"male",66,75,2,61950,33.002421307506,9,9,50535,20.9869397447314,4.75
139,"male",51,75,8,64890,34.0924641701341,2,2,67215,23.4766793126534,2
142,"female",31,75,2,53595,31.9952420934789,7,7,52050,36.8530259365994,5
162,"male",32,75,2,67320,32.7326203208556,8,8,48150,28.1931464174455,3.75
199,"male",28,75,5,49620,40.6874244256348,5,6,34365,28.2710606721956,5
241,"male",20,75,4,30705,41.390815828041,7,4,25560,26.9014084507042,3
6,"male",29,76,2,61920,37.9394379844961,7,8,61680,28.2568093385214,5
106,"male",31,76,3,60525,37.002478314746,6,7,39000,6.96923076923076,4.75
278,"male",36,77,8,79020,24.2167805618831,5,5,73170,14.8573185731858,2.5
59,"female",52,78,3,73605,42.3674342775627,2,3,47070,30.4633524537922,2
274,"female",35,78,4,62670,35.4174246050742,7,7,107325,11.8958770090845,4.75
291,"male",NA,78,7,49800,34.4759036144578,7,7,49500,20.4424242424243,3.5
69,"female",37,80,7,47235,28.6487773896475,7,7,51000,23.1235294117647,3.25
160,"male",30,80,5,68220,36.5773966578716,1,2,70875,20.0095238095238,2.25
181,"male",32,80,9,60150,30.6832917705736,3,4,22350,22.6040268456376,3.5
205,"female",29,80,4,52245,25.7131782945736,8,8,48000,14.8125,4.25
211,"male",26,80,2,57000,51.2605263157895,9,9,31995,43.1500234411627,4.75
70,"male",37,81,8,52665,49.3731130731985,4,4,52500,42.8828571428572,2.75
210,"male",42,82,7,61065,31.8469663473348,3,3,90270,27.4582917912928,3.5
36,"female",53,85,6,68925,48.9782372143635,7,5,79950,49.9774859287055,2
73,"female",51,85,7,68235,31.5355023081996,2,2,70725,30.1177094379639,3
147,"female",36,85,8,87600,24.5787671232877,1,1,95550,12.5792778649921,1.25
152,"female",28,85,8,69735,31.3346956334696,3,4,70200,19.9444444444445,2.25
153,"male",26,85,3,80055,41.8338017612891,7,8,49005,33.0906029996939,4
260,"male",40,85,7,72375,41.099481865285,5,5,60045,24.3315013739695,1.75
121,"male",37,86,2,86985,29.1714088635972,7,7,60870,23.3178905864958,4.5
168,"female",28,88.1,6,57195,30.6527668502491,6,6,56940,24.8877766069547,3.25
112,"male",33,89,9,50025,30.0584707646177,3,3,62055,26.2985255015712,2.25
12,"male",35,90,7,43875,42.6136752136752,4,3,36720,41.0269607843137,2.5
38,"male",36,90,5,50475,51.5081723625557,7,7,33420,30.0287253141831,4.5
47,"female",30,90,4,67275,34.5696767001115,4,5,90000,9.5,3.25
85,"male",27,90,3,62130,39.1941091260261,7,7,74445,19.6492041104171,3.5
159,"female",56,90,6,59415,40.7192628124211,6,5,59535,10.2154195011338,2.25
183,"female",40,90,7,65340,42.1955922865014,8,8,87750,13.851282051282,5
289,"female",43,90,4,44040,28.4209809264305,7,7,67545,23.2176326893182,4.5
301,"female",27,90,5,67605,39.7574883514533,5,5,64515,35.6472913275982,3.75
46,"male",69,98,7,69795,38.6952503761014,7,7,64215,21.027563653352,3.25
201,"female",45,100,8,60690,35.5126050420168,9,9,97365,20.8625789554768,2
203,"female",29,100,2,47295,41.3190612115446,9,8,57900,34.6217616580311,4.75
208,"female",24,100,3,51615,42.8070328392909,7,7,53175,28.5768688293371,4.25
242,"male",20,100,4,73080,30.5710180623974,6,7,52050,28.7435158501441,4.25
299,"male",30,100,8,73125,41.2748717948718,5,5,91350,33.8752052545156,3
127,"female",37,104,2,74760,30.5918940609952,7,3,110250,13.9619047619048,3.75
191,"female",42,109,7,40365,33.5039018952063,7,7,90000,6.16666666666666,3.25
126,"female",36,110,3,64620,30.797121634169,5,5,36945,27.9005278116119,4
164,"female",52,110,4,48795,43.3289271441746,5,5,42090,44.7377049180328,2.25
172,"male",27,110,2,57225,30.5439056356488,8,8,90750,17.500826446281,4.5
270,"male",47,110,7,61425,38.1941391941392,1,2,56250,22.8666666666667,2.75
236,"female",32,115,4,55125,33.9442176870748,7,8,53475,38.4558204768583,4.5
264,"female",34,120,3,54900,32.2540983606557,3,5,46665,34.5544840887174,3.25
286,"female",56,120,6,52755,28.330110889963,7,7,78000,12.4961538461538,4
95,"male",59,125,8,76515,28.3256224269751,4,3,58200,34.4587628865979,2
14,"male",31,129,9,64320,37.1674440298508,2,3,76350,28.3516699410609,1
261,"male",28,129,5,65025,33.717416378316,6,5,72000,27.2083333333333,3.5
22,"male",45,130,5,42120,41.1588319088319,8,7,38970,37.8729792147806,4.25
91,"male",53,130,2,77865,30.2695049123483,7,7,70920,22.5029610829103,5
158,"female",59,130,3,61740,39.6584062196307,8,8,62280,41.0264932562621,5.5
254,"female",28,130,7,38475,31.5808966861598,6,6,45000,38.5833333333333,3.25
283,"male",25,140,3,66315,26.0572268717485,6,7,65640,39.9460694698355,3.75
105,"female",36,150,9,52350,32.756446991404,2,2,102000,12.7352941176471,2
279,"female",21,150,2,70065,36.3474630700064,6,4,48855,36.2993552348787,3.25
58,"male",43,159.85,5,98760,30.3781895504253,6,5,75600,27.2599206349206,2.5
7,"female",53,160,2,58950,44.3027989821883,7,7,92250,18.219512195122,4.25
194,"female",39,164,9,85200,29.3732394366197,5,6,43485,28.94963780614,2.5
173,"female",26,175,3,88545,21.4109774690835,5,7,86235,23.4901722038615,4.5
141,"female",35,180,3,71220,31.6941870261163,7,7,101250,35.4074074074074,4.25
149,"male",55,180,9,33840,45.7154255319149,9,9,22125,43.1423728813559,6
137,"male",55,185,7,78555,39.0523200305518,5,5,121800,21.0197044334975,2
290,"male",46,190,7,78915,32.1362858772097,2,2,126525,22.3526970954357,1.5
54,"female",27,200,5,69360,34.4744809688581,9,9,51660,33.3681765389082,5
214,"male",32,200,5,65340,31.5941230486685,7,7,86295,22.5498001042934,3.25
239,"male",60,200,5,60990,31.2380718150516,7,7,131550,6.41847206385405,3.25
212,"male",23,240,8,71250,35.6778947368421,5,5,148500,17.5555555555555,2.75
195,"male",25,275,4,83250,29.7117117117117,6,5,113175,12.583830351226,3.25
101,"male",43,350,4,57390,32.7532671197073,7,7,139050,22.7195253505933,3.25
62,"male",66,NA,5,41895,42.5273899033297,8,9,91500,8.55737704918035,4.75
227,"female",26,NA,5,17670,25.5551782682513,5,5,24855,20.92757996379,3.5
253,"male",33,NA,3,49695,36.6854814367643,7,7,65700,34.8310502283105,4
