"id","sex","age","legacy","belief","intention","education","income","donation"
145,"male",31,5.5,5.6,2.57,5,1,5
146,"male",46,2.75,2.6,1.29,5,5,0
147,"female",25,6,5.4,3.43,5,2,3
148,"female",55,3.62,5.6,3,5,2,0
149,"female",46,4.38,5.6,4.14,5,5,10
150,"female",46,1.75,5,3.57,3,4,0
151,"female",38,5.12,5.4,4.14,5,3,2
152,"male",30,4.12,5.2,3.14,4,3,3
153,"female",38,4,4.2,1.86,5,6,0
154,"male",37,3.12,5.4,3.57,5,4,0
155,"female",NA,5,5.6,3.86,5,2,5
156,"female",28,3.88,4.8,2,5,5,0
157,"male",54,4.5,5.2,4,4,1,0
158,"male",28,4.25,4.4,2.57,6,2,0
159,"male",35,4,5.4,2.71,5,1,0
160,"female",32,4.38,5.2,3,4,1,5
161,"female",65,3.5,5.2,2.43,5,5,1
162,"male",32,3.75,5.6,3.86,4,1,2
163,"female",54,4.38,5,3.29,4,6,0
164,"male",33,5.12,6,4.57,1,1,5
165,"female",26,3.62,4.6,3,4,2,1
167,"male",33,3.75,5.4,3.71,4,4,0
168,"male",22,2.88,4.8,3.43,4,1,2
169,"female",21,3.88,5.6,3.29,4,2,5
170,"female",56,3.25,5,2.86,5,2,5
171,"male",38,5,5.4,3.86,6,5,10
172,"male",23,5.25,4.6,2.43,4,3,2
173,"female",50,4.5,4.8,1.71,5,5,10
174,"female",64,4.75,4.6,4,5,4,1
175,"female",35,4.5,4,2,5,1,0
176,"female",33,2.75,4.8,2.71,6,5,0
177,"female",52,5.62,4.2,2.57,5,4,1
178,"male",26,4.38,4.6,1.71,2,1,0
179,"male",28,4.5,4.6,2.43,5,4,0
180,"male",32,5.25,5.6,3.29,4,3,5
181,"male",28,5.5,5.4,3.29,3,2,5
182,"male",25,3.12,5,2.43,4,6,0
183,"male",35,4.75,5.4,2.14,6,5,3
184,"male",27,4.75,5.2,2.71,6,6,10
185,"female",24,5.25,6,4.43,5,2,0
186,"female",36,4.12,5.4,2.57,3,2,0
187,"male",38,4,4.8,3,6,4,0
188,"female",28,4.88,5.4,4,5,3,5
189,"male",22,4.12,6,2.14,4,6,3
190,"male",54,4.38,5.8,4,3,2,3
191,"male",35,3.12,5.2,2.71,5,4,6
192,"female",46,4.62,5.8,3.71,6,5,10
193,"female",58,4.12,3.4,1,5,2,5
194,"male",26,3,5,1.86,6,1,2
195,"male",42,5,6.4,4.71,6,3,5
196,"male",24,4.88,6.2,3.71,4,3,5
197,"male",28,4.62,5.8,3.86,4,4,3
198,"male",35,4.88,5,2.29,5,6,1
199,"female",29,3.88,4.6,2.86,5,1,5
200,"female",26,1.25,4.2,3.57,4,1,3
201,"male",32,3.75,5.8,2.86,5,4,9
203,"male",34,4.62,5.8,3.14,6,4,0
204,"male",24,3.88,4.2,3.57,4,1,0.5
205,"male",39,2.88,4.4,2.14,5,3,0
206,"male",39,2.5,4.8,3,4,1,1
207,"male",23,4.75,5.2,1,5,6,0
208,"female",41,4.25,5.8,5,5,4,10
209,"male",32,3.75,5,2.43,5,1,3
210,"female",31,3.25,5.8,2.43,5,3,5
211,"male",NA,3.38,4.4,3.14,4,5,2
212,"male",63,2.12,5.8,3.43,5,1,3
213,"male",37,3,3.4,1.43,3,1,0
214,"female",55,4.75,6,3.14,3,1,0
215,"female",48,4,4.8,3.29,5,5,1
216,"female",30,2.88,4.6,2.71,3,1,1
217,"male",24,4.5,5.8,3,4,6,9
218,"male",23,4.88,5.4,2.43,4,6,0
219,"male",41,4.12,4,2.86,5,4,2
220,"female",29,2.88,5.4,3.71,4,2,0
221,"male",22,3.25,5,1.43,3,4,0
222,"male",29,4.25,5.8,3.29,6,4,0
223,"female",25,5,6.2,3.29,4,5,5
224,"female",28,2.5,5,2.14,2,2,0
225,"female",26,4.12,5.6,2.29,6,2,5
226,"female",67,4.12,4.4,3.14,3,3,1
227,"male",32,2.25,4.4,1.86,4,4,0
228,"male",31,3.62,5.2,2.71,5,5,2
229,"male",26,3.25,5,2.43,4,5,5
230,"female",68,5,5,5,2,1,5
231,"female",24,4,4.2,1.57,4,4,0
232,"female",27,3.62,3.6,2.29,4,2,2
233,"female",41,4.62,5,2.29,5,6,2
234,"female",22,5.75,5.4,2.43,3,3,2
235,"female",39,5,5,3,5,3,2
236,"female",24,4.12,5.2,3.86,5,1,5
237,"male",NA,2.12,4.8,2,5,3,5
239,"female",57,4.75,5,3.43,3,4,5
240,"female",24,6,5.8,3.14,5,3,1
241,"male",31,4,4.6,3.43,5,5,0
242,"female",27,4,4,2,5,1,0
243,"male",29,4.38,4.6,3.71,4,2,5
244,"male",46,4.12,5,3.43,4,3,5
245,"female",25,4.62,5.6,2,5,3,4
