"iid","pid","gender","age","date_like","other_like","date_want","other_want","match","self_attr","self_sinc","self_intel","self_fun","self_amb","other_attr","other_sinc","other_intel","other_fun","other_amb","other_shar","date_attr","date_sinc","date_intel","date_fun","date_amb","date_shar","self_imp_attr","self_imp_sinc","self_imp_intel","self_imp_fun","self_imp_amb","self_imp_shar","other_imp_attr","other_imp_sinc","other_imp_intel","other_imp_fun","other_imp_amb","other_imp_shar"
136,141,"female",NA,8,4,0,0,0,NA,NA,NA,NA,NA,3,7,8,4,8,4,6,8,8,8,8,8,NA,NA,NA,NA,NA,NA,20.83,20.83,16.67,16.67,6.25,18.75
137,132,"male",26,7,8,1,0,0,7,9,9,8,8,7,9,7,9,6,9,8,8,9,8,9,7,17.39,17.39,15.22,17.39,13.04,19.57,16.67,16.67,16.67,16.67,16.67,16.67
137,133,"male",26,7,7,0,0,0,7,9,9,8,8,7,7,7,8,6,8,6,10,10,6,7,5,17.39,17.39,15.22,17.39,13.04,19.57,12.77,19.15,17.02,17.02,14.89,19.15
137,134,"male",26,9,9,1,1,1,7,9,9,8,8,8,9,7,9,10,8,9,9,9,8,8,7,17.39,17.39,15.22,17.39,13.04,19.57,6.67,20,20,17.78,20,15.56
137,135,"male",26,7,6,1,0,0,7,9,9,8,8,8,5,NA,NA,NA,5,7,8,8,7,7,6,17.39,17.39,15.22,17.39,13.04,19.57,18.18,22.73,18.18,13.64,13.64,13.64
137,136,"male",26,8,8,1,0,0,7,9,9,8,8,8,8,8,8,8,8,6,8,9,7,9,6,17.39,17.39,15.22,17.39,13.04,19.57,NA,NA,NA,NA,NA,NA
138,132,"male",32,8,8,1,0,0,8,8,8,8,8,8,8,8,8,8,8,8,7,4,6,6,4,20,20,20,20,6.67,13.33,16.67,16.67,16.67,16.67,16.67,16.67
138,133,"male",32,1,6,0,0,0,8,8,8,8,8,7,6,8,7,8,6,3,8,8,9,8,1,20,20,20,20,6.67,13.33,12.77,19.15,17.02,17.02,14.89,19.15
138,134,"male",32,1,7,0,1,0,8,8,8,8,8,7,8,9,8,7,8,3,8,8,2,7,1,20,20,20,20,6.67,13.33,6.67,20,20,17.78,20,15.56
138,135,"male",32,1,7,0,1,0,8,8,8,8,8,8,8,8,NA,NA,2,4,6,6,1,7,1,20,20,20,20,6.67,13.33,18.18,22.73,18.18,13.64,13.64,13.64
138,136,"male",32,9,10,1,1,1,8,8,8,8,8,10,10,10,10,10,10,7,8,10,9,9,8,20,20,20,20,6.67,13.33,NA,NA,NA,NA,NA,NA
139,132,"male",37,8,5,1,0,0,8,8,9,9,6,5,7,9,5,9,5,8,NA,8,8,7,NA,18.75,16.67,18.75,20.83,12.5,12.5,16.67,16.67,16.67,16.67,16.67,16.67
139,133,"male",37,6,7,1,0,0,8,8,9,9,6,6,5,5,6,6,7,6,8,10,6,8,NA,18.75,16.67,18.75,20.83,12.5,12.5,12.77,19.15,17.02,17.02,14.89,19.15
139,134,"male",37,7,6,1,0,0,8,8,9,9,6,7,7,8,5,8,5,7,9,9,7,6,NA,18.75,16.67,18.75,20.83,12.5,12.5,6.67,20,20,17.78,20,15.56
139,135,"male",37,6,6,0,1,0,8,8,9,9,6,7,8,NA,8,4,6,6,NA,NA,6,5,NA,18.75,16.67,18.75,20.83,12.5,12.5,18.18,22.73,18.18,13.64,13.64,13.64
139,136,"male",37,8,5,1,0,0,8,8,9,9,6,3,8,8,5,8,1,8,8,NA,8,8,NA,18.75,16.67,18.75,20.83,12.5,12.5,NA,NA,NA,NA,NA,NA
140,132,"male",29,7,9,1,1,1,7,7,8,9,8,8,9,9,9,9,8,7,7,7,7,7,7,18.6,16.28,18.6,18.6,11.63,16.28,16.67,16.67,16.67,16.67,16.67,16.67
140,133,"male",29,6,7,0,0,0,7,7,8,9,8,8,7,7,8,8,7,5,9,8,6,8,6,18.6,16.28,18.6,18.6,11.63,16.28,12.77,19.15,17.02,17.02,14.89,19.15
140,134,"male",29,6.5,8,0,1,0,7,7,8,9,8,8,9,9,9,10,7,6.5,8,7.5,7,7,NA,18.6,16.28,18.6,18.6,11.63,16.28,6.67,20,20,17.78,20,15.56
140,135,"male",29,7,8,1,1,1,7,7,8,9,8,8,8,8,8,NA,NA,6.5,8,8,7,7,7,18.6,16.28,18.6,18.6,11.63,16.28,18.18,22.73,18.18,13.64,13.64,13.64
140,136,"male",29,6.5,8,0,0,0,7,7,8,9,8,8,8,8,8,8,8,5,5,6,8,6,8,18.6,16.28,18.6,18.6,11.63,16.28,NA,NA,NA,NA,NA,NA
141,132,"male",28,7,7,1,0,0,7,9,8,8,6,5,8,8,8,7,7,8,7,7,7,7,8,20.83,20.83,16.67,16.67,6.25,18.75,16.67,16.67,16.67,16.67,16.67,16.67
141,133,"male",28,8,5,1,0,0,7,9,8,8,6,5,6,5,7,5,6,6,10,9,9,6,5,20.83,20.83,16.67,16.67,6.25,18.75,12.77,19.15,17.02,17.02,14.89,19.15
141,134,"male",28,7,5,1,0,0,7,9,8,8,6,6,5,6,5,6,4,7,8,8,7,6,5,20.83,20.83,16.67,16.67,6.25,18.75,6.67,20,20,17.78,20,15.56
141,135,"male",28,8,6,1,1,1,7,9,8,8,6,7,NA,NA,8,8,NA,8,9,8,8,6,5,20.83,20.83,16.67,16.67,6.25,18.75,18.18,22.73,18.18,13.64,13.64,13.64
141,136,"male",28,4,8,0,0,0,7,9,8,8,6,6,8,8,8,8,8,3,7,8,4,8,4,20.83,20.83,16.67,16.67,6.25,18.75,NA,NA,NA,NA,NA,NA
142,158,"female",24,4,9,0,1,0,9,9,10,9,7,10,8,8,7,7,5,4,5,6,4,6,4,14.29,14.29,21.43,21.43,19.05,9.52,19.05,19.05,19.05,19.05,9.52,14.29
142,159,"female",24,9,7,1,1,1,9,9,10,9,7,7,7,7,6,NA,4,5,10,9,8,7,5,14.29,14.29,21.43,21.43,19.05,9.52,15.91,20.45,20.45,20.45,11.36,11.36
142,160,"female",24,8,6,1,0,0,9,9,10,9,7,6,9,8,7,9,NA,8,8,8,8,10,6,14.29,14.29,21.43,21.43,19.05,9.52,16,18,18,18,14,16
142,161,"female",24,9,7,1,0,0,9,9,10,9,7,8,7,8,7,6,4,10,10,9,8,8,7,14.29,14.29,21.43,21.43,19.05,9.52,16.67,18.75,18.75,18.75,18.75,8.33
142,162,"female",24,8,5,1,0,0,9,9,10,9,7,6,7,7,6,6,5,8,10,9,8,8,5,14.29,14.29,21.43,21.43,19.05,9.52,15.22,15.22,19.57,17.39,13.04,19.57
142,163,"female",24,8,6,1,0,0,9,9,10,9,7,7,7,7,5,6,5,6,8,8,8,8,7,14.29,14.29,21.43,21.43,19.05,9.52,12,20,20,20,16,12
142,164,"female",24,7,6,1,0,0,9,9,10,9,7,8,7,9,7,NA,NA,8,9,10,8,5,6,14.29,14.29,21.43,21.43,19.05,9.52,20.51,23.08,20.51,17.95,2.56,15.38
142,165,"female",24,7,6,0,0,0,9,9,10,9,7,8,8,9,7,8,6,6,8,7,6,5,7,14.29,14.29,21.43,21.43,19.05,9.52,16.67,12.5,20.83,18.75,12.5,18.75
142,166,"female",24,5,5,0,0,0,9,9,10,9,7,4,4,8,4,NA,NA,8,6,6,8,9,5,14.29,14.29,21.43,21.43,19.05,9.52,27.78,19.44,19.44,27.78,2.78,2.78
142,167,"female",24,8,6,1,1,1,9,9,10,9,7,7,6,7,6,4,4,8,8,8,8,8,8,14.29,14.29,21.43,21.43,19.05,9.52,18.6,13.95,18.6,16.28,16.28,16.28
142,168,"female",24,10,8,1,1,1,9,9,10,9,7,8,8,7,7,7,8,6,9,9,10,9,10,14.29,14.29,21.43,21.43,19.05,9.52,11.11,17.78,17.78,17.78,17.78,17.78
142,169,"female",24,10,8,1,1,1,9,9,10,9,7,8,8,9,8,7,8,10,10,10,10,10,10,14.29,14.29,21.43,21.43,19.05,9.52,17.78,20,17.78,15.56,15.56,13.33
142,170,"female",24,9,7,0,1,0,9,9,10,9,7,7,7,7,7,5,7,4,7,7,9,8,7,14.29,14.29,21.43,21.43,19.05,9.52,16.28,20.93,18.6,18.6,13.95,11.63
142,171,"female",24,7,7,1,1,1,9,9,10,9,7,7,8,9,9,8,7,4,10,9,5,6,2,14.29,14.29,21.43,21.43,19.05,9.52,19.57,10.87,19.57,19.57,19.57,10.87
142,172,"female",24,8,6,1,1,1,9,9,10,9,7,8,7,6,7,7,6,8,7,8,8,8,8,14.29,14.29,21.43,21.43,19.05,9.52,17.78,17.78,22.22,20,15.56,6.67
142,173,"female",24,8,7,1,1,1,9,9,10,9,7,8,7,7,7,5,5,6,4,8,9,9,9,14.29,14.29,21.43,21.43,19.05,9.52,18.37,18.37,20.41,20.41,16.33,6.12
143,158,"female",33,5,7,0,1,0,7,10,8,7,7,6,8,9,6,8,7,5,6,8,6,7,NA,8.33,20.83,20.83,14.58,16.67,18.75,19.05,19.05,19.05,19.05,9.52,14.29
143,159,"female",33,5,5,0,0,0,7,10,8,7,7,5,7,7,5,4,4,4,6,8,5,NA,5,8.33,20.83,20.83,14.58,16.67,18.75,15.91,20.45,20.45,20.45,11.36,11.36
143,160,"female",33,5,4,0,0,0,7,10,8,7,7,4,9,7,5,8,3,5,5,7,8,7,4,8.33,20.83,20.83,14.58,16.67,18.75,16,18,18,18,14,16
143,161,"female",33,8,4,1,0,0,7,10,8,7,7,5,10,8,5,10,6,5,6,8,9,8,6,8.33,20.83,20.83,14.58,16.67,18.75,16.67,18.75,18.75,18.75,18.75,8.33
143,162,"female",33,7,3,0,0,0,7,10,8,7,7,3,6,6,2,7,2,6,7,9,8,9,NA,8.33,20.83,20.83,14.58,16.67,18.75,15.22,15.22,19.57,17.39,13.04,19.57
143,163,"female",33,8,5,1,0,0,7,10,8,7,7,5,8,7,6,6,4,9,8,9,8,9,8,8.33,20.83,20.83,14.58,16.67,18.75,12,20,20,20,16,12
143,164,"female",33,8,6,1,0,0,7,10,8,7,7,4,9,9,5,NA,NA,8,7,9,8,8,NA,8.33,20.83,20.83,14.58,16.67,18.75,20.51,23.08,20.51,17.95,2.56,15.38
143,165,"female",33,9,6,1,0,0,7,10,8,7,7,6,9,9,6,8,4,10,9,9,10,6,NA,8.33,20.83,20.83,14.58,16.67,18.75,16.67,12.5,20.83,18.75,12.5,18.75
143,166,"female",33,8,5,1,0,0,7,10,8,7,7,3,7,7,5,NA,NA,9,8,9,8,8,NA,8.33,20.83,20.83,14.58,16.67,18.75,27.78,19.44,19.44,27.78,2.78,2.78
143,167,"female",33,5,3,0,0,0,7,10,8,7,7,3,7,6,4,5,2,5,6,7,6,4,NA,8.33,20.83,20.83,14.58,16.67,18.75,18.6,13.95,18.6,16.28,16.28,16.28
143,168,"female",33,7,6,1,0,0,7,10,8,7,7,5,5,5,6,6,6,7,8,9,9,9,NA,8.33,20.83,20.83,14.58,16.67,18.75,11.11,17.78,17.78,17.78,17.78,17.78
143,169,"female",33,8,7,1,0,0,7,10,8,7,7,7,9,9,8,8,8,8,9,9,8,8,8,8.33,20.83,20.83,14.58,16.67,18.75,17.78,20,17.78,15.56,15.56,13.33
143,170,"female",33,4,4,0,0,0,7,10,8,7,7,5,7,7,5,7,3,5,5,9,6,7,8,8.33,20.83,20.83,14.58,16.67,18.75,16.28,20.93,18.6,18.6,13.95,11.63
143,171,"female",33,9,6,1,0,0,7,10,8,7,7,5,8,9,6,7,9,8,9,9,7,8,8,8.33,20.83,20.83,14.58,16.67,18.75,19.57,10.87,19.57,19.57,19.57,10.87
143,172,"female",33,9,1,1,0,0,7,10,8,7,7,NA,8,9,2,8,1,8,8,9,8,8,NA,8.33,20.83,20.83,14.58,16.67,18.75,17.78,17.78,22.22,20,15.56,6.67
143,173,"female",33,7,3,0,0,0,7,10,8,7,7,4,6,5,4,5,5,7,5,8,9,8,NA,8.33,20.83,20.83,14.58,16.67,18.75,18.37,18.37,20.41,20.41,16.33,6.12
144,158,"female",23,4,9,0,1,0,7,8,9,8,9,9,9,9,7,7,8,4,6,7,4,7,4,16,16,16,18,18,16,19.05,19.05,19.05,19.05,9.52,14.29
144,159,"female",23,4,9,0,1,0,7,8,9,8,9,8,8,8,8,7,9,4,7,8,5,7,4,16,16,16,18,18,16,15.91,20.45,20.45,20.45,11.36,11.36
144,160,"female",23,7,7,0,0,0,7,8,9,8,9,6,8,9,9,9,7,7,8,8,8,8,7,16,16,16,18,18,16,16,18,18,18,14,16
144,161,"female",23,9,5,1,0,0,7,8,9,8,9,6,8,10,9,3,1,8,8,8,10,7,9,16,16,16,18,18,16,16.67,18.75,18.75,18.75,18.75,8.33
144,162,"female",23,9,8,1,1,1,7,8,9,8,9,8,7,7,7,7,5,7,7,8,8,7,7,16,16,16,18,18,16,15.22,15.22,19.57,17.39,13.04,19.57
144,163,"female",23,7,6,0,0,0,7,8,9,8,9,8,8,8,6,6,5,6,7,7,8,7,7,16,16,16,18,18,16,12,20,20,20,16,12
144,164,"female",23,8,7,0,0,0,7,8,9,8,9,7,7,9,7,6,5,8,8,7,7,6,7,16,16,16,18,18,16,20.51,23.08,20.51,17.95,2.56,15.38
144,165,"female",23,6,7,0,0,0,7,8,9,8,9,7,8,10,8,7,6,7,6,6,5,6,5,16,16,16,18,18,16,16.67,12.5,20.83,18.75,12.5,18.75
144,166,"female",23,7,8,0,1,0,7,8,9,8,9,7,7,9,9,NA,NA,7,8,8,7,7,6,16,16,16,18,18,16,27.78,19.44,19.44,27.78,2.78,2.78
144,167,"female",23,6,3,0,0,0,7,8,9,8,9,4,6,5,4,5,6,6,7,8,7,7,7,16,16,16,18,18,16,18.6,13.95,18.6,16.28,16.28,16.28
144,168,"female",23,5,7,0,1,0,7,8,9,8,9,8,8,8,8,8,8,5,5,6,6,5,5,16,16,16,18,18,16,11.11,17.78,17.78,17.78,17.78,17.78
144,169,"female",23,7,8,1,0,0,7,8,9,8,9,8,7,8,9,7,9,7,7,8,8,6,7,16,16,16,18,18,16,17.78,20,17.78,15.56,15.56,13.33
144,170,"female",23,5,NA,0,0,0,7,8,9,8,9,NA,NA,NA,NA,NA,NA,5,7,8,6,7,5,16,16,16,18,18,16,16.28,20.93,18.6,18.6,13.95,11.63
144,171,"female",23,6,8,0,1,0,7,8,9,8,9,8,9,9,9,8,10,5,7,8,7,7,6,16,16,16,18,18,16,19.57,10.87,19.57,19.57,19.57,10.87
144,172,"female",23,7,4,0,0,0,7,8,9,8,9,4,7,8,5,6,4,5,8,7,7,8,7,16,16,16,18,18,16,17.78,17.78,22.22,20,15.56,6.67
144,173,"female",23,6,4,0,0,0,7,8,9,8,9,5,7,6,6,6,5,6,7,8,6,7,6,16,16,16,18,18,16,18.37,18.37,20.41,20.41,16.33,6.12
145,158,"female",24,8,9,0,1,0,5,5,9,7,7,9,8,9,7,7,8,7,10,10,7,9,8,11.36,18.18,22.73,18.18,11.36,18.18,19.05,19.05,19.05,19.05,9.52,14.29
145,159,"female",24,8,8,0,1,0,5,5,9,7,7,8,8,8,7,7,9,7,10,10,10,10,8,11.36,18.18,22.73,18.18,11.36,18.18,15.91,20.45,20.45,20.45,11.36,11.36
145,160,"female",24,7,5,0,0,0,5,5,9,7,7,4,8,9,4,10,3,8,10,7,10,7,5,11.36,18.18,22.73,18.18,11.36,18.18,16,18,18,18,14,16
145,161,"female",24,9,4,1,0,0,5,5,9,7,7,6,8,10,7,5,3,10,9,9,9,8,7,11.36,18.18,22.73,18.18,11.36,18.18,16.67,18.75,18.75,18.75,18.75,8.33
145,162,"female",24,8,6,0,0,0,5,5,9,7,7,5,6,7,7,6,5,9,9,9,8,9,8,11.36,18.18,22.73,18.18,11.36,18.18,15.22,15.22,19.57,17.39,13.04,19.57
145,163,"female",24,9,5,1,0,0,5,5,9,7,7,6,7,6,8,5,3,9,9,8,7,9,7,11.36,18.18,22.73,18.18,11.36,18.18,12,20,20,20,16,12
145,164,"female",24,9,7,1,0,0,5,5,9,7,7,4,8,9,8,NA,7,9,10,10,9,8,9,11.36,18.18,22.73,18.18,11.36,18.18,20.51,23.08,20.51,17.95,2.56,15.38
145,165,"female",24,2,6,0,0,0,5,5,9,7,7,6,8,9,6,8,5,8,8,7,7,5,4,11.36,18.18,22.73,18.18,11.36,18.18,16.67,12.5,20.83,18.75,12.5,18.75
145,166,"female",24,3,5,0,0,0,5,5,9,7,7,5,7,7,6,NA,NA,7,7,7,7,7,4,11.36,18.18,22.73,18.18,11.36,18.18,27.78,19.44,19.44,27.78,2.78,2.78
145,167,"female",24,8,3,0,0,0,5,5,9,7,7,2,6,6,4,5,5,10,9,9,8,7,4,11.36,18.18,22.73,18.18,11.36,18.18,18.6,13.95,18.6,16.28,16.28,16.28
145,168,"female",24,8,7,0,1,0,5,5,9,7,7,7,7,7,7,7,7,6,9,8,8,7,10,11.36,18.18,22.73,18.18,11.36,18.18,11.11,17.78,17.78,17.78,17.78,17.78
145,169,"female",24,7,8,0,0,0,5,5,9,7,7,7,9,9,8,9,8,9,7,9,7,7,5,11.36,18.18,22.73,18.18,11.36,18.18,17.78,20,17.78,15.56,15.56,13.33
145,170,"female",24,9,6,0,1,0,5,5,9,7,7,6,7,6,6,6,8,8,10,9,7,7,10,11.36,18.18,22.73,18.18,11.36,18.18,16.28,20.93,18.6,18.6,13.95,11.63
145,171,"female",24,8,6,0,1,0,5,5,9,7,7,6,8,9,5,8,3,9,9,9,7,8,5,11.36,18.18,22.73,18.18,11.36,18.18,19.57,10.87,19.57,19.57,19.57,10.87
145,172,"female",24,9,3,1,0,0,5,5,9,7,7,2,7,9,2,4,2,9,9,9,7,8,7,11.36,18.18,22.73,18.18,11.36,18.18,17.78,17.78,22.22,20,15.56,6.67
145,173,"female",24,10,4,1,0,0,5,5,9,7,7,4,6,6,5,5,5,8,10,10,10,10,10,11.36,18.18,22.73,18.18,11.36,18.18,18.37,18.37,20.41,20.41,16.33,6.12
146,158,"female",36,4,9,0,1,0,8,8,8,8,8,8,9,8,7,7,8,4,6,8,NA,NA,NA,18.18,18.18,18.18,18.18,13.64,13.64,19.05,19.05,19.05,19.05,9.52,14.29
146,159,"female",36,7,5,0,0,0,8,8,8,8,8,6,8,8,5,6,NA,5,7,10,8,NA,NA,18.18,18.18,18.18,18.18,13.64,13.64,15.91,20.45,20.45,20.45,11.36,11.36
146,160,"female",36,7,4,0,0,0,8,8,8,8,8,5,8,NA,6,7,NA,8,10,7,8,8,NA,18.18,18.18,18.18,18.18,13.64,13.64,16,18,18,18,14,16
146,161,"female",36,6,4,0,0,0,8,8,8,8,8,5,6,7,4,5,5,6,8,8,NA,NA,NA,18.18,18.18,18.18,18.18,13.64,13.64,16.67,18.75,18.75,18.75,18.75,8.33
146,162,"female",36,5,4,0,0,0,8,8,8,8,8,4,6,8,3,6,3,5,5,10,NA,8,NA,18.18,18.18,18.18,18.18,13.64,13.64,15.22,15.22,19.57,17.39,13.04,19.57
146,163,"female",36,6,6,0,0,0,8,8,8,8,8,5,8,7,6,7,7,6,8,8,8,NA,NA,18.18,18.18,18.18,18.18,13.64,13.64,12,20,20,20,16,12
146,164,"female",36,10,10,1,1,1,8,8,8,8,8,9,10,10,8,8,8,10,9,10,10,8,8,18.18,18.18,18.18,18.18,13.64,13.64,20.51,23.08,20.51,17.95,2.56,15.38
146,165,"female",36,6,7,0,1,0,8,8,8,8,8,8,7,9,7,7,7,8,8,7,NA,NA,7,18.18,18.18,18.18,18.18,13.64,13.64,16.67,12.5,20.83,18.75,12.5,18.75
146,166,"female",36,6,7,0,0,0,8,8,8,8,8,7,7,7,7,NA,NA,5,8,6,6,NA,NA,18.18,18.18,18.18,18.18,13.64,13.64,27.78,19.44,19.44,27.78,2.78,2.78
146,167,"female",36,6,3,0,0,0,8,8,8,8,8,3,6,8,2,5,3,5,7,8,7,NA,NA,18.18,18.18,18.18,18.18,13.64,13.64,18.6,13.95,18.6,16.28,16.28,16.28
146,168,"female",36,6,4,0,0,0,8,8,8,8,8,4,6,7,6,6,3,6,8,10,NA,NA,NA,18.18,18.18,18.18,18.18,13.64,13.64,11.11,17.78,17.78,17.78,17.78,17.78
146,169,"female",36,7,7,0,0,0,8,8,8,8,8,7,8,9,7,8,7,8,8,8,8,NA,NA,18.18,18.18,18.18,18.18,13.64,13.64,17.78,20,17.78,15.56,15.56,13.33
146,170,"female",36,6,5,0,1,0,8,8,8,8,8,5,7,7,6,6,5,6,8,8,NA,NA,NA,18.18,18.18,18.18,18.18,13.64,13.64,16.28,20.93,18.6,18.6,13.95,11.63
146,171,"female",36,7,8,0,1,0,8,8,8,8,8,6,8,9,6,7,7,8,8,8,7,NA,NA,18.18,18.18,18.18,18.18,13.64,13.64,19.57,10.87,19.57,19.57,19.57,10.87
146,172,"female",36,6,1,0,0,0,8,8,8,8,8,1,4,5,1,3,1,8,8,8,7,NA,NA,18.18,18.18,18.18,18.18,13.64,13.64,17.78,17.78,22.22,20,15.56,6.67
146,173,"female",36,5,4,0,0,0,8,8,8,8,8,5,6,5,5,5,4,6,8,8,8,NA,NA,18.18,18.18,18.18,18.18,13.64,13.64,18.37,18.37,20.41,20.41,16.33,6.12
147,158,"female",26,5,8,0,1,0,8,7,9,8,7,9,7,7,9,8,6,5,5,8,5,5,5,18,18,20,18,16,10,19.05,19.05,19.05,19.05,9.52,14.29
147,159,"female",26,5,5,0,0,0,8,7,9,8,7,6,6,6,6,6,3,5,6,8,5,5,4,18,18,20,18,16,10,15.91,20.45,20.45,20.45,11.36,11.36
147,160,"female",26,8,6,1,1,1,8,7,9,8,7,8,10,9,8,8,7,8,6,7,8,9,7,18,18,20,18,16,10,16,18,18,18,14,16
147,161,"female",26,6,4,1,0,0,8,7,9,8,7,7,8,9,10,6,6,7,6,7,6,6,5,18,18,20,18,16,10,16.67,18.75,18.75,18.75,18.75,8.33
147,162,"female",26,5,5,0,1,0,8,7,9,8,7,5,7,7,8,7,5,5,6,6,6,5,4,18,18,20,18,16,10,15.22,15.22,19.57,17.39,13.04,19.57
147,163,"female",26,8,6,1,0,0,8,7,9,8,7,7,9,7,8,7,8,7,8,8,7,7,8,18,18,20,18,16,10,12,20,20,20,16,12
147,164,"female",26,5,6,0,0,0,8,7,9,8,7,9,6,6,8,6,5,6,8,8,6,6,5,18,18,20,18,16,10,20.51,23.08,20.51,17.95,2.56,15.38
147,165,"female",26,6,8,1,1,1,8,7,9,8,7,7,8,8,10,8,5,7,7,7,5,6,5,18,18,20,18,16,10,16.67,12.5,20.83,18.75,12.5,18.75
147,166,"female",26,7,8,1,1,1,8,7,9,8,7,8,8,8,9,NA,NA,8,8,8,6,8,7,18,18,20,18,16,10,27.78,19.44,19.44,27.78,2.78,2.78
